[Tabla de lexer] Linea: 1 Columna: 1 Tokem: 50, Valor: nt (Identificador)
[Tabla de lexer] Linea: 1 Columna: 4 Tokem: 50, Valor: main (Identificador)
[Tabla de lexer] Linea: 1 Columna: 8 Tokem: 37, Valor: ( (PARENTESISABRE)
[Tabla de lexer] Linea: 1 Columna: 9 Tokem: 38, Valor: ) (PARENTESISCIERRA)
[Tabla de lexer] Linea: 1 Columna: 11 Tokem: 39, Valor: { (LLAVESCORCHETEABRE)
[Tabla de lexer] Linea: 2 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 2 Columna: 9 Tokem: 50, Valor: x (Identificador)
[Tabla de lexer] Linea: 2 Columna: 11 Tokem: 21, Valor: = (EQ)
[Tabla de lexer] Linea: 2 Columna: 13 Tokem: 45, Valor: 13 (L_ENTERO)
[Tabla de lexer] Linea: 2 Columna: 15 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 3 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 3 Columna: 9 Tokem: 50, Valor: y (Identificador)
[Tabla de lexer] Linea: 3 Columna: 11 Tokem: 21, Valor: = (EQ)
[Tabla de lexer] Linea: 3 Columna: 13 Tokem: 45, Valor: 15 (L_ENTERO)
[Tabla de lexer] Linea: 3 Columna: 15 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 4 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 4 Columna: 9 Tokem: 50, Valor: res (Identificador)
[Tabla de lexer] Linea: 4 Columna: 13 Tokem: 21, Valor: = (EQ)
[Tabla de lexer] Linea: 4 Columna: 15 Tokem: 50, Valor: x (Identificador)
[Tabla de lexer] Linea: 4 Columna: 17 Tokem: 20, Valor: + (PLUS)
[Tabla de lexer] Linea: 4 Columna: 19 Tokem: 50, Valor: y (Identificador)
[Tabla de lexer] Linea: 4 Columna: 20 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 5 Columna: 5 Tokem: 17, Valor: sysPrint (SYS_PRINT)
[Tabla de lexer] Linea: 5 Columna: 13 Tokem: 37, Valor: ( (PARENTESISABRE)
[Tabla de lexer] Linea: 5 Columna: 14 Tokem: 50, Valor: res (Identificador)
[Tabla de lexer] Linea: 5 Columna: 17 Tokem: 38, Valor: ) (PARENTESISCIERRA)
[Tabla de lexer] Linea: 5 Columna: 18 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 7 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 7 Columna: 9 Tokem: 50, Valor: f (Identificador)
[Tabla de lexer] Linea: 7 Columna: 11 Tokem: 21, Valor: = (EQ)
[Tabla de lexer] Linea: 7 Columna: 13 Tokem: 45, Valor: 123 (L_ENTERO)
[Tabla de lexer] Linea: 7 Columna: 16 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 8 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 8 Columna: 9 Tokem: 50, Valor: d (Identificador)
[Tabla de lexer] Linea: 8 Columna: 11 Tokem: 21, Valor: = (EQ)
[Tabla de lexer] Linea: 8 Columna: 13 Tokem: 45, Valor: 290 (L_ENTERO)
[Tabla de lexer] Linea: 8 Columna: 16 Tokem: 3, Valor: $ (FIN_EXPRESION)
[Tabla de lexer] Linea: 9 Columna: 5 Tokem: 15, Valor: int (INT)
[Tabla de lexer] Linea: 9 Columna: 9 Tokem: 50, Valor: res2 (Identificador)
[Tabla de lexer] Linea: 9 Columna: 14 Tokem: 21, Valor: = (EQ)
